Programme,2009,2010,2011,2012,2013,2014,2015
HIB Sosialt arbeid,51.2,51.6,52.0,53.6,52.1,51.9,51.9
HIB Ingeniør: energiteknologi,49.5,49.2,52.8,50.9,49.8,50.0,50.7
HIB Sykepleierutdanning,48.0,48.4,47.4,47.9,47.7,47.9,48.6
HIB Faglærer kroppsøving og idrettsfag,49.6,53.3,51.4,49.6,52.0,47.7,48.7
HIB Folkehelsearbeid: kosthold og fysisk aktivitet,49.5,49.9,50.7,52.4,51.7,52.0,49.0
HIB Ergoterapeututdanning,46.8,48.1,46.9,45.8,46.9,45.0,46.3
HIB Radiografutdanning,42.9,43.4,43.2,43.9,43.5,43.0,44.7
HIB Økonomi og administrasjon,49.6,50.7,50.2,50.7,51.2,49.1,49.9
HIB Bioingeniørutdanning,48.6,46.3,48.6,50.2,49.4,48.2,48.9
HIB Fysioterapeututdanning,55.7,56.3,56.0,56.0,55.2,54.8,54.7
HIB Ingeniør: marinteknikk,49.5,46.8,47.1,53.2,53.4,53.3,48.3
HIB Ingeniør: maskinteknikk,48.2,48.5,48.8,50.3,51.7,53.7,54.4
HIB Landmåling og eiendomsdesign,41.8,45.6,45.2,49.6,48.9,48.7,47.4
HIB Ingeniør: undervannsteknologi,53.6,52.8,52.2,55.6,56.8,54.9,48.1
HIB Vernepleierutdanning,46.3,46.9,48.2,48.5,50.9,47.0,47.3
Haraldsplass Sykepleierutdanning,46.3,47.0,46.1,47.1,47.3,47.2,48.0
NHH Siviløkonomutdanningen,54.7,55.5,55.2,56.1,56.7,56.2,56.3
NTNU Politisk økonomi,45.3,46.5,45.5,47.4,44.6,46.8,45.9
NTNU Psykologi,47.4,48.0,51.1,52.3,51.1,50.6,49.8
NTNU Datateknologi,49.4,49.2,50.1,52.4,54.0,55.1,55.2
NTNU Biologi og kjemi,57.5,54.0,52.8,52.9,57.6,57.8,56.8
NTNU Kybernetikk og robotikk,50.7,50.0,51.3,52.2,53.6,55.8,56.3
NTNU Elektronisk systemdesign og innovasjon,47.3,48.0,47.4,50.3,52.6,54.3,54.7
NTNU Lektorutdanning i realfag,46.9,47.2,48.7,48.3,51.2,51.4,49.0
NTNU Fysikk og matematikk,50.5,54.0,56.0,55.2,56.5,57.3,57.6
NTNU Industriell kjemi og bioteknologi,50.0,52.3,49.4,49.7,51.4,53.8,53.5
NTNU Informatikk,43.1,44.8,45.1,47.5,45.6,47.2,48.9
NTNU Marin teknikk,52.2,53.1,54.0,54.7,55.7,56.4,55.9
NTNU Lektorutdanning i historie,45.1,47.2,51.5,52.5,53.9,54.3,53.9
NTNU Bevegelsesvitenskap,48.1,48.3,47.9,47.4,48.0,46.5,46.0
NTNU Produktutvikling og produksjon,52.8,52.5,53.0,54.3,55.7,56.3,55.8
NTNU Lektorutdanning språkfag/engelsk,43.8,45.5,47.6,48.5,49.0,49.7,50.4
NTNU Arkeologi,43.9,44.6,43.2,41.8,41.6,39.7,39.5
NTNU Industriell økonomi og teknologiledelse,59.7,60.8,61.5,61.8,62.7,63.5,64.0
NTNU Industriell design,58.4,58.5,58.8,58.6,59.3,58.0,57.9
NTNU Energi og miljø,53.2,53.9,54.0,53.6,55.1,56.0,56.0
NTNU Kjemi,46.9,48.8,50.0,50.8,49.8,50.2,51.9
NTNU Geografi: årsstudium,48.4,52.2,50.9,50.5,46.4,50.9,52.5
NTNU Samfunnsøkonomi: årsstudium,51.1,52.8,55.2,49.5,49.6,53.0,55.1
NTNU Samfunnsøkonomi,47.8,47.2,47.5,47.8,46.9,48.3,48.1
NTNU Filosofi: årsstudium,42.3,45.0,44.2,44.7,39.4,43.0,45.5
NTNU Matematiske fag,46.7,48.6,47.2,50.9,50.5,53.0,51.6
NTNU Samfunnsøkonomi: master,51.0,51.4,51.2,48.1,48.6,50.4,49.8
NTNU Matematiske fag: årsstudium,46.9,52.8,49.3,53.9,54.2,53.8,52.1
NTNU Lektorutdanning i samfunnsfag,48.5,48.6,52.2,52.0,54.6,54.4,52.3
NTNU Engelsk: årsstudium,47.1,46.9,48.6,50.2,47.7,48.5,49.8
NTNU Tekniske geofag,48.3,50.3,52.4,54.2,55.8,56.6,55.0
NTNU Psykologi: årsstudium,46.9,48.3,50.8,50.4,49.7,49.9,49.7
NTNU Sosiologi,41.2,43.3,42.8,42.7,42.4,41.7,44.2
NTNU Statsvitskap,43.9,46.6,46.2,46.0,45.9,46.6,46.0
NTNU Materialteknologi,50.5,50.8,51.6,52.3,53.7,55.1,54.5
NTNU Historie: årsstudium,47.4,49.6,48.0,47.5,46.4,44.9,45.3
NTNU Arkitektur,59.9,59.4,58.0,58.3,57.5,56.9,58.4
NTNU Petroleumsfag,51.4,51.6,52.5,55.2,57.7,58.8,54.1
NTNU Bygg- og miljøteknikk,52.7,52.4,53.1,53.4,54.9,55.8,56.3
NTNU Engelsk,42.6,42.1,41.5,43.4,40.0,37.9,38.0
NTNU Historie,40.3,41.4,40.9,43.1,40.7,40.0,40.2
NTNU Kommunikasjonsteknologi,47.0,50.4,48.8,51.3,53.2,54.5,54.7
NTNU Pedagogikk,41.3,43.6,42.5,43.1,43.8,43.6,45.4
NTNU Geografi,36.0,40.7,39.5,38.7,43.9,41.8,42.7
NTNU Film- og videoproduksjon,54.9,55.6,53.1,53.0,53.1,50.8,54.8
NTNU Bioteknologi,54.1,53.0,54.1,53.5,52.7,54.2,55.0
NTNU Samfunns- og idrettsvitenskap,45.0,45.1,46.0,46.1,45.7,45.5,45.2
NTNU Nanoteknologi,63.6,63.0,62.0,63.2,61.3,62.8,63.0
NTNU Fysikk,49.6,51.7,52.6,54.4,54.4,53.8,53.5
NTNU Geologi,48.4,50.6,53.6,53.2,54.9,55.7,53.0
NTNU Biologi,49.4,50.0,51.7,48.8,49.1,50.3,49.9
NTNU Ingeniørvitenskap og IKT,49.0,49.6,51.5,52.6,54.3,54.4,55.1
PHS Politiutdanning: Oslo,49.6,48.3,47.5,47.2,47.5,47.8,49.5
PHS Politiutdanning: Bodø,44.9,41.9,42.0,40.3,41.5,43.5,45.1
PHS Politiutdanning: Kongsvinger,46.3,43.0,43.1,41.9,43.5,44.6,45.7
UIB Administrasjon og organisasjonsvitenskap,42.6,46.1,46.7,47.9,44.2,42.5,40.4
UIB Psykologi: årsstudium,44.1,47.9,49.3,49.0,51.5,51.6,49.0
UIB Farmasi,56.5,52.2,53.7,52.3,53.3,50.6,52.8
UIB Human ernæring,63.0,61.3,60.7,61.3,62.6,57.4,54.8
UIB Sosiologi,45.0,45.1,44.3,43.9,43.7,40.3,40.0
UIB Kognitiv vitenskap,42.1,43.2,45.9,48.2,51.0,47.7,49.1
UIB Film- og tv-produksjon,54.9,54.9,53.8,53.6,54.5,53.3,51.6
UIB Nye medier,47.7,48.0,45.2,46.3,46.4,45.3,44.3
UIB Rettsvitenskap,52.3,53.6,54.5,55.6,56.7,57.4,57.4
UIB Medievitenskap,45.0,46.0,46.0,45.6,44.1,38.4,33.9
UIB Pedagogikk,48.0,47.4,49.6,49.7,48.9,49.0,46.6
UIB Sosiologi: årsstudium,43.6,49.1,49.6,51.3,51.3,51.3,50.3
UIB Administrasjon og organisasjonsvitenskap: årsstud.,50.4,53.0,53.0,55.1,55.6,54.0,54.0
UIB Nanoteknologi,52.3,54.0,52.7,52.1,49.6,51.1,50.1
UIB Arbeids- og organisasjonspsykologi,56.1,57.0,57.1,56.4,55.6,56.0,54.7
UIB Informasjonsvitenskap,42.3,42.9,43.4,43.7,44.9,43.1,43.3
UIB Odontologi,63.5,62.6,63.4,63.2,63.9,63.9,64.1
UIB Samfunnsøkonomi: master,48.6,50.3,48.5,50.3,49.8,48.3,48.0
UIB Journalistikk,58.6,58.4,57.2,57.1,57.7,55.7,55.6
UIB Tannpleie,46.3,48.2,45.8,45.3,46.5,43.5,43.7
UIB Medievitenskap: årsstudium,46.9,52.7,52.8,52.6,51.6,45.1,49.8
UIB Miljø- og ressursfag: samfunnsvitenskapelig,53.1,50.9,46.3,46.3,45.8,48.7,50.2
UIB Generell psykologi,51.9,54.2,56.0,54.8,54.6,54.8,53.1
UIB Sammenliknende politikk,44.3,45.5,45.2,46.5,47.1,40.8,36.9
UIB Sosialantropologi,43.8,43.9,43.4,41.0,39.8,37.1,34.0
UIB Sammenliknende politikk: årsstudium,47.0,54.4,50.2,54.6,54.4,52.2,52.2
UIB Samfunnsøkonomi: årsstudium,51.2,55.3,56.2,58.6,57.4,55.7,55.3
UIB Sosialantropologi: årsstudium,43.5,50.8,48.7,50.8,51.2,46.4,46.2
UIB Samfunnsøkonomi: bachelor,47.8,49.7,50.0,50.4,50.8,47.4,46.3
UIO Utviklingsstudier,51.0,50.7,51.7,50.6,49.0,48.6,48.3
UIO Kultur og kommunikasjon,52.8,52.9,53.0,53.6,52.6,51.7,51.5
UIO Kunsthistorie: årsstudium,56.3,56.7,56.7,57.1,53.2,53.0,54.6
UIO Rettsvitenskap (jus): start høst,58.0,58.4,58.1,59.4,59.8,60.3,60.6
UIO Historie,47.3,48.1,48.3,47.2,45.8,45.0,45.1
UIO Medievitenskap,51.2,50.8,50.2,50.8,48.5,48.4,48.1
UIO Rettsvitenskap (jus): start vår,54.7,55.2,55.7,57.2,57.8,58.3,58.5
UIO Pedagogikk,44.9,46.4,46.5,47.0,46.8,45.6,46.7
UIO Samfunnsgeografi,51.8,51.3,52.5,49.6,48.6,49.6,49.2
UIO Spesialpedagogikk,42.8,48.0,46.4,46.8,46.4,46.8,47.2
UIO Offentlig administrasjon og ledelse,50.3,52.1,54.2,54.8,54.3,53.7,53.5
UIO Odontologi,65.2,65.2,63.9,64.6,65.0,64.9,65.5
UIO Samfunnsøkonomisk analyse,53.8,53.0,55.0,52.2,54.1,52.9,53.0
UIO Internasjonale studier,58.7,59.2,58.1,58.8,56.4,56.9,54.6
UIO Kriminologi,51.6,52.8,53.3,53.9,53.3,54.0,53.6
UIO Psykologi,55.6,55.0,55.9,55.5,55.8,55.6,56.3
UIO Demokrati og rettigheter i informasjonssamfunnet,46.7,47.2,50.0,48.6,49.0,50.0,49.2
UIO Sosialantropologi,49.2,49.7,50.2,49.1,46.5,46.3,45.2
UIO Lektorprogrammet: kultur og samfunnsfag,44.9,52.1,49.3,49.2,49.5,50.8,51.4
UIO Psykologi profesjon: start høst,65.5,65.3,64.9,64.3,65.1,65.7,66.1
UIO Psykologi profesjon: start vår,63.7,64.2,63.0,62.6,63.6,64.1,64.8
UIO Samfunnsøkonomi,56.0,53.9,55.5,56.6,57.0,57.0,55.7
UIO Tannpleie,50.7,52.8,54.2,53.0,51.7,52.3,51.2
UIO Engelsk: årsstudium,59.6,59.9,58.7,58.8,57.3,54.7,55.5
UIO Informatikk: design: bruk og interaksjon,43.3,46.8,46.0,50.9,50.3,51.8,50.6
UIO Psykologi: årsstudium,56.2,56.2,57.0,55.3,56.0,57.4,57.4
UIO Farmasi,52.0,46.3,50.4,50.5,51.9,49.0,54.7
UIO Helseledelse og helseøkonomi,50.4,50.4,53.5,52.0,51.8,52.5,53.2
UIO Sosiologi,49.8,50.8,50.4,50.9,50.2,49.9,48.8
UIO Tverrfaglige kjønnsstudier: årsstudium,53.5,52.9,53.8,51.9,53.0,53.0,55.7
UIO Statsvitenskap,51.6,52.9,54.2,53.8,53.8,53.8,51.8
